"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Florida"	"12"	"1999"	"1999"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	54	15759421	0.3	0.3	0.2	0.4
	"Florida"	"12"	"1999"	"1999"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	47	15759421	0.3	0.3	0.2	0.4
	"Florida"	"12"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	149	15759421	0.9	1.0	0.8	1.1
	"Florida"	"12"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	101	15759421	0.6	0.6	0.5	0.7
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	333	15759421	2.1	2.1	1.8	2.3
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by drowning and submersion"	"X71"	27	15759421	0.2	0.1	0.1	0.2
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	133	15759421	0.8	0.8	0.7	0.9
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	139	15759421	0.9	0.8	0.7	1.0
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	864	15759421	5.5	5.1	4.7	5.4
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by smoke, fire and flames"	"X76"	13	15759421	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by sharp object"	"X78"	26	15759421	0.2	0.1	0.1	0.2
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by jumping from a high place"	"X80"	58	15759421	0.4	0.3	0.3	0.4
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by jumping or lying before moving object"	"X81"	31	15759421	0.2	0.2	0.1	0.3
	"Florida"	"12"	"1999"	"1999"	"Intentional self-harm by other specified means"	"X83"	19	15759421	Unreliable	Unreliable	0.1	0.2
"Total"	"Florida"	"12"	"1999"	"1999"			2029	15759421	12.9	12.2	11.7	12.8
	"Florida"	"12"	"2000"	"2000"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	17	15982378	Unreliable	Unreliable	0.1	0.2
	"Florida"	"12"	"2000"	"2000"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	70	15982378	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2000"	"2000"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	47	15982378	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	144	15982378	0.9	0.9	0.7	1.0
	"Florida"	"12"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	92	15982378	0.6	0.6	0.5	0.7
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	329	15982378	2.1	2.1	1.8	2.3
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by drowning and submersion"	"X71"	52	15982378	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	190	15982378	1.2	1.1	0.9	1.2
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	129	15982378	0.8	0.8	0.6	0.9
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	867	15982378	5.4	5.0	4.7	5.4
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by smoke, fire and flames"	"X76"	11	15982378	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by sharp object"	"X78"	37	15982378	0.2	0.2	0.1	0.3
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by jumping from a high place"	"X80"	38	15982378	0.2	0.2	0.2	0.3
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by jumping or lying before moving object"	"X81"	24	15982378	0.2	0.2	0.1	0.2
	"Florida"	"12"	"2000"	"2000"	"Intentional self-harm by other specified means"	"X83"	14	15982378	Unreliable	Unreliable	0.0	0.1
"Total"	"Florida"	"12"	"2000"	"2000"			2086	15982378	13.1	12.4	11.9	12.9
	"Florida"	"12"	"2001"	"2001"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	22	16356966	0.1	0.1	0.1	0.2
	"Florida"	"12"	"2001"	"2001"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	93	16356966	0.6	0.5	0.4	0.7
	"Florida"	"12"	"2001"	"2001"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	52	16356966	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	213	16356966	1.3	1.3	1.1	1.5
	"Florida"	"12"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	92	16356966	0.6	0.5	0.4	0.7
	"Florida"	"12"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	424	16356966	2.6	2.6	2.3	2.8
	"Florida"	"12"	"2001"	"2001"	"Intentional self-harm by drowning and submersion"	"X71"	36	16356966	0.2	0.2	0.1	0.3
	"Florida"	"12"	"2001"	"2001"	"Intentional self-harm by handgun discharge"	"X72"	210	16356966	1.3	1.2	1.0	1.3
	"Florida"	"12"	"2001"	"2001"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	147	16356966	0.9	0.9	0.7	1.0
	"Florida"	"12"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	840	16356966	5.1	4.7	4.4	5.0
	"Florida"	"12"	"2001"	"2001"	"Intentional self-harm by smoke, fire and flames"	"X76"	19	16356966	Unreliable	Unreliable	0.1	0.1
	"Florida"	"12"	"2001"	"2001"	"Intentional self-harm by sharp object"	"X78"	39	16356966	0.2	0.2	0.2	0.3
	"Florida"	"12"	"2001"	"2001"	"Intentional self-harm by jumping from a high place"	"X80"	53	16356966	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2001"	"2001"	"Intentional self-harm by jumping or lying before moving object"	"X81"	26	16356966	0.2	0.2	0.1	0.2
"Total"	"Florida"	"12"	"2001"	"2001"			2314	16356966	14.1	13.5	12.9	14.0
	"Florida"	"12"	"2002"	"2002"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	20	16689370	0.1	0.1	0.1	0.2
	"Florida"	"12"	"2002"	"2002"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	77	16689370	0.5	0.4	0.3	0.5
	"Florida"	"12"	"2002"	"2002"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	62	16689370	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	214	16689370	1.3	1.3	1.1	1.4
	"Florida"	"12"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	103	16689370	0.6	0.6	0.5	0.7
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	417	16689370	2.5	2.5	2.3	2.7
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by drowning and submersion"	"X71"	52	16689370	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by handgun discharge"	"X72"	193	16689370	1.2	1.1	0.9	1.2
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	126	16689370	0.8	0.7	0.6	0.9
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	886	16689370	5.3	4.9	4.6	5.2
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by smoke, fire and flames"	"X76"	15	16689370	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by sharp object"	"X78"	41	16689370	0.2	0.2	0.2	0.3
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by jumping from a high place"	"X80"	65	16689370	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by jumping or lying before moving object"	"X81"	21	16689370	0.1	0.1	0.1	0.2
	"Florida"	"12"	"2002"	"2002"	"Intentional self-harm by crashing of motor vehicle"	"X82"	13	16689370	Unreliable	Unreliable	0.0	0.1
"Total"	"Florida"	"12"	"2002"	"2002"			2338	16689370	14.0	13.3	12.8	13.9
	"Florida"	"12"	"2003"	"2003"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	19	17004085	Unreliable	Unreliable	0.1	0.2
	"Florida"	"12"	"2003"	"2003"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	70	17004085	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2003"	"2003"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	60	17004085	0.4	0.3	0.3	0.4
	"Florida"	"12"	"2003"	"2003"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	181	17004085	1.1	1.0	0.9	1.2
	"Florida"	"12"	"2003"	"2003"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	96	17004085	0.6	0.5	0.4	0.7
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	402	17004085	2.4	2.3	2.1	2.6
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by drowning and submersion"	"X71"	35	17004085	0.2	0.2	0.1	0.2
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by handgun discharge"	"X72"	198	17004085	1.2	1.1	0.9	1.2
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	115	17004085	0.7	0.6	0.5	0.8
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	929	17004085	5.5	5.0	4.7	5.4
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by smoke, fire and flames"	"X76"	13	17004085	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by sharp object"	"X78"	45	17004085	0.3	0.2	0.2	0.3
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by jumping from a high place"	"X80"	58	17004085	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by jumping or lying before moving object"	"X81"	29	17004085	0.2	0.2	0.1	0.2
	"Florida"	"12"	"2003"	"2003"	"Intentional self-harm by crashing of motor vehicle"	"X82"	11	17004085	Unreliable	Unreliable	0.0	0.1
"Total"	"Florida"	"12"	"2003"	"2003"			2297	17004085	13.5	12.8	12.3	13.4
	"Florida"	"12"	"2004"	"2004"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	21	17415318	0.1	0.1	0.1	0.2
	"Florida"	"12"	"2004"	"2004"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	83	17415318	0.5	0.4	0.3	0.5
	"Florida"	"12"	"2004"	"2004"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	71	17415318	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	225	17415318	1.3	1.3	1.1	1.4
	"Florida"	"12"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	105	17415318	0.6	0.6	0.5	0.7
	"Florida"	"12"	"2004"	"2004"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	463	17415318	2.7	2.7	2.4	2.9
	"Florida"	"12"	"2004"	"2004"	"Intentional self-harm by drowning and submersion"	"X71"	42	17415318	0.2	0.2	0.2	0.3
	"Florida"	"12"	"2004"	"2004"	"Intentional self-harm by handgun discharge"	"X72"	213	17415318	1.2	1.1	1.0	1.3
	"Florida"	"12"	"2004"	"2004"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	128	17415318	0.7	0.7	0.6	0.8
	"Florida"	"12"	"2004"	"2004"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	856	17415318	4.9	4.5	4.2	4.8
	"Florida"	"12"	"2004"	"2004"	"Intentional self-harm by smoke, fire and flames"	"X76"	19	17415318	Unreliable	Unreliable	0.1	0.2
	"Florida"	"12"	"2004"	"2004"	"Intentional self-harm by sharp object"	"X78"	37	17415318	0.2	0.2	0.1	0.3
	"Florida"	"12"	"2004"	"2004"	"Intentional self-harm by jumping from a high place"	"X80"	59	17415318	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2004"	"2004"	"Intentional self-harm by jumping or lying before moving object"	"X81"	30	17415318	0.2	0.2	0.1	0.2
"Total"	"Florida"	"12"	"2004"	"2004"			2389	17415318	13.7	13.0	12.5	13.6
	"Florida"	"12"	"2005"	"2005"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	17	17842038	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2005"	"2005"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	70	17842038	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2005"	"2005"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	51	17842038	0.3	0.2	0.2	0.3
	"Florida"	"12"	"2005"	"2005"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	229	17842038	1.3	1.2	1.1	1.4
	"Florida"	"12"	"2005"	"2005"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	88	17842038	0.5	0.5	0.4	0.6
	"Florida"	"12"	"2005"	"2005"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	13	17842038	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2005"	"2005"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	483	17842038	2.7	2.7	2.5	3.0
	"Florida"	"12"	"2005"	"2005"	"Intentional self-harm by drowning and submersion"	"X71"	42	17842038	0.2	0.2	0.2	0.3
	"Florida"	"12"	"2005"	"2005"	"Intentional self-harm by handgun discharge"	"X72"	207	17842038	1.2	1.1	0.9	1.2
	"Florida"	"12"	"2005"	"2005"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	121	17842038	0.7	0.6	0.5	0.8
	"Florida"	"12"	"2005"	"2005"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	835	17842038	4.7	4.3	4.0	4.6
	"Florida"	"12"	"2005"	"2005"	"Intentional self-harm by sharp object"	"X78"	53	17842038	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2005"	"2005"	"Intentional self-harm by jumping from a high place"	"X80"	63	17842038	0.4	0.3	0.3	0.4
	"Florida"	"12"	"2005"	"2005"	"Intentional self-harm by jumping or lying before moving object"	"X81"	29	17842038	0.2	0.2	0.1	0.2
	"Florida"	"12"	"2005"	"2005"	"Intentional self-harm by other specified means"	"X83"	11	17842038	Unreliable	Unreliable	0.0	0.1
"Total"	"Florida"	"12"	"2005"	"2005"			2347	17842038	13.2	12.5	12.0	13.0
	"Florida"	"12"	"2006"	"2006"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	14	18166990	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2006"	"2006"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	86	18166990	0.5	0.4	0.4	0.6
	"Florida"	"12"	"2006"	"2006"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	50	18166990	0.3	0.3	0.2	0.3
	"Florida"	"12"	"2006"	"2006"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	256	18166990	1.4	1.3	1.1	1.5
	"Florida"	"12"	"2006"	"2006"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	10	18166990	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2006"	"2006"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	94	18166990	0.5	0.5	0.4	0.6
	"Florida"	"12"	"2006"	"2006"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	478	18166990	2.6	2.6	2.4	2.9
	"Florida"	"12"	"2006"	"2006"	"Intentional self-harm by drowning and submersion"	"X71"	40	18166990	0.2	0.2	0.2	0.3
	"Florida"	"12"	"2006"	"2006"	"Intentional self-harm by handgun discharge"	"X72"	224	18166990	1.2	1.1	1.0	1.3
	"Florida"	"12"	"2006"	"2006"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	147	18166990	0.8	0.8	0.6	0.9
	"Florida"	"12"	"2006"	"2006"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	856	18166990	4.7	4.3	4.0	4.6
	"Florida"	"12"	"2006"	"2006"	"Intentional self-harm by smoke, fire and flames"	"X76"	12	18166990	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2006"	"2006"	"Intentional self-harm by sharp object"	"X78"	54	18166990	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2006"	"2006"	"Intentional self-harm by jumping from a high place"	"X80"	57	18166990	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2006"	"2006"	"Intentional self-harm by jumping or lying before moving object"	"X81"	19	18166990	Unreliable	Unreliable	0.1	0.2
	"Florida"	"12"	"2006"	"2006"	"Sequelae of intentional self-harm"	"Y87.0"	14	18166990	Unreliable	Unreliable	0.0	0.1
"Total"	"Florida"	"12"	"2006"	"2006"			2440	18166990	13.4	12.6	12.1	13.1
	"Florida"	"12"	"2007"	"2007"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	21	18367842	0.1	0.1	0.1	0.2
	"Florida"	"12"	"2007"	"2007"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	57	18367842	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2007"	"2007"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	59	18367842	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2007"	"2007"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	247	18367842	1.3	1.3	1.1	1.4
	"Florida"	"12"	"2007"	"2007"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	119	18367842	0.6	0.6	0.5	0.7
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	564	18367842	3.1	3.0	2.8	3.3
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by drowning and submersion"	"X71"	34	18367842	0.2	0.2	0.1	0.2
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by handgun discharge"	"X72"	278	18367842	1.5	1.4	1.2	1.5
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	134	18367842	0.7	0.7	0.6	0.8
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	872	18367842	4.7	4.3	4.0	4.6
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by smoke, fire and flames"	"X76"	20	18367842	0.1	0.1	0.1	0.2
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by sharp object"	"X78"	56	18367842	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by jumping from a high place"	"X80"	45	18367842	0.2	0.2	0.2	0.3
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by jumping or lying before moving object"	"X81"	23	18367842	0.1	0.1	0.1	0.2
	"Florida"	"12"	"2007"	"2007"	"Intentional self-harm by other specified means"	"X83"	14	18367842	Unreliable	Unreliable	0.0	0.1
"Total"	"Florida"	"12"	"2007"	"2007"			2587	18367842	14.1	13.2	12.7	13.7
	"Florida"	"12"	"2008"	"2008"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	18	18527305	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2008"	"2008"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	80	18527305	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2008"	"2008"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	60	18527305	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2008"	"2008"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	305	18527305	1.6	1.5	1.4	1.7
	"Florida"	"12"	"2008"	"2008"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	107	18527305	0.6	0.5	0.4	0.6
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	540	18527305	2.9	3.0	2.7	3.2
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by drowning and submersion"	"X71"	44	18527305	0.2	0.2	0.1	0.3
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by handgun discharge"	"X72"	313	18527305	1.7	1.5	1.4	1.7
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	181	18527305	1.0	0.9	0.8	1.0
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	903	18527305	4.9	4.4	4.1	4.7
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by smoke, fire and flames"	"X76"	10	18527305	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by sharp object"	"X78"	63	18527305	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by jumping from a high place"	"X80"	54	18527305	0.3	0.3	0.2	0.4
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by jumping or lying before moving object"	"X81"	11	18527305	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by other specified means"	"X83"	10	18527305	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2008"	"2008"	"Intentional self-harm by unspecified means"	"X84"	14	18527305	Unreliable	Unreliable	0.0	0.1
"Total"	"Florida"	"12"	"2008"	"2008"			2740	18527305	14.8	13.9	13.3	14.4
	"Florida"	"12"	"2009"	"2009"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	16	18652644	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2009"	"2009"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	74	18652644	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2009"	"2009"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	72	18652644	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2009"	"2009"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	297	18652644	1.6	1.5	1.3	1.7
	"Florida"	"12"	"2009"	"2009"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	77	18652644	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2009"	"2009"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	13	18652644	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	589	18652644	3.2	3.2	2.9	3.4
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by drowning and submersion"	"X71"	43	18652644	0.2	0.2	0.2	0.3
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by handgun discharge"	"X72"	322	18652644	1.7	1.6	1.4	1.8
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	156	18652644	0.8	0.8	0.7	0.9
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	994	18652644	5.3	4.8	4.5	5.1
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by smoke, fire and flames"	"X76"	14	18652644	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by sharp object"	"X78"	66	18652644	0.4	0.3	0.2	0.4
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by jumping from a high place"	"X80"	45	18652644	0.2	0.2	0.2	0.3
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by jumping or lying before moving object"	"X81"	24	18652644	0.1	0.1	0.1	0.2
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by other specified means"	"X83"	17	18652644	Unreliable	Unreliable	0.1	0.2
	"Florida"	"12"	"2009"	"2009"	"Intentional self-harm by unspecified means"	"X84"	14	18652644	Unreliable	Unreliable	0.0	0.1
"Total"	"Florida"	"12"	"2009"	"2009"			2858	18652644	15.3	14.4	13.8	14.9
	"Florida"	"12"	"2010"	"2010"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	13	18801310	Unreliable	Unreliable	0.0	0.1
	"Florida"	"12"	"2010"	"2010"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	76	18801310	0.4	0.4	0.3	0.5
	"Florida"	"12"	"2010"	"2010"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	64	18801310	0.3	0.3	0.2	0.3
	"Florida"	"12"	"2010"	"2010"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	293	18801310	1.6	1.4	1.3	1.6
	"Florida"	"12"	"2010"	"2010"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	11	18801310	Unreliable	Unreliable	0.0	0.1
